t_dim,SW_net,LW_in,LW_out,R_net,H_t,Ls_t,G_t,T_5mm,T_a,T_s,Lf_b,H_b,G_b,top_flux_sum,bottom_flux_sum,mass_loss_bottom,mass_loss_top,thickness_loss_top,thickness_loss_bottom
0.0,0.0,200,-491.79852253319586,-291.79852253319586,-11.157162326127898,-21.508149194953262,327.1421312000797,273.15,269.8117333157176,272.423017486222,7060.3839,-7060.3839,0.0,2.6782971458026736,0.0,0.021138873952095807,-7.589325756864242e-06,-8.278963408818853e-09,2.3059751229514353e-05
0.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.158212786513934,-21.508149194953035,319.40577455557104,273.13280809634546,269.8114874601409,272.42301748622197,7060.3839,-7060.3839,0.0,-5.059109959091529,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
1.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.159263257133436,-21.508149194953035,312.03104540365985,273.1164198093412,269.8112416021691,272.42301748622197,7060.3839,-7060.3839,0.0,-12.434889581622201,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
1.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.160313737984705,-21.508149194953035,304.9969126636995,273.1007884032524,269.8109957418026,272.42301748622197,7060.3839,-7060.3839,0.0,-19.470072802433833,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
2.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.161364229066042,-21.508149194953035,298.28371191821645,273.08587017937356,269.81074987904185,272.42301748622197,7060.3839,-7060.3839,0.0,-26.184324038998227,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
2.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.162414730376716,-21.508149194953035,291.87305038709894,273.07162426485996,269.81050401388694,272.42301748622197,7060.3839,-7060.3839,0.0,-32.5960360714264,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
3.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.163465241914544,-21.508149194953035,285.74771881793026,273.0580124169285,269.8102581463384,272.42301748622197,7060.3839,-7060.3839,0.0,-38.72241815213289,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
3.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.164515763678795,-21.508149194953035,279.89160977202516,273.0449988412709,269.81001227639644,272.42301748622197,7060.3839,-7060.3839,0.0,-44.57957771980227,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
4.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.16556629566777,-21.508149194953035,274.2896418262461,273.0325500236136,269.8097664040614,272.42301748622197,7060.3839,-7060.3839,0.0,-50.18259619757026,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
4.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.166616837880012,-21.508149194953035,268.92768924751067,273.02063457343866,269.80952052933367,272.42301748622197,7060.3839,-7060.3839,0.0,-55.54559931851793,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
